TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,TS_5,G,WTD,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20160828,1.5779491666666676,-15.13246041666667,125.88147916666662,3.45376875,0.4097100416666665,291.00595233333325,131.78413125,643.0665717916667,34.060524479166666,9.6042885,64.26075,101.56624999999998,18.375104166666667,0.0,19.048374999999997,19.103979166666672,19.159739583333334,19.39129166666666,19.798270833333326,-2.6915937500000013,-0.5306467741935483,11.31410354166667,12.892020520833334,10.920405104166667,10.74430131666667,257.24097252083334,2.8521503958333336,1.5779491666666676,-15.13246041666667,125.88147916666662,3.45376875,292.22602083333334,318.7052500000001,131.78413125,643.0665717916667,34.060524479166666,9.875083333333333,64.26075,101.56624999999998,18.375104166666667,0.0,-2.6915937500000013,-0.5117558333333333,2.8521250000000005,125.88147916666662,1.5779491666666676,3.45376875,1.0
20160829,0.25469608695652096,-10.660205531914894,141.793347826087,2.3199165319148927,0.5144379583333335,291.20943881250014,131.009750625,647.4180417083334,35.18846245833333,8.894123500000003,64.47243750000003,101.50604166666668,17.8365,0.0,18.6383125,18.79572916666666,19.026229166666667,19.451197916666672,19.860937499999995,-5.4158454166666665,-0.5641658064516127,11.855041354166673,12.550050354166665,10.57163895,10.685285449999997,260.9081952916667,3.645680520833333,0.6950420833333331,-12.22788875,137.3518541666667,2.4192224374999984,292.3831666666667,320.3520000000002,131.009750625,647.4180417083334,35.18846245833333,10.289479166666672,64.47243750000003,101.50604166666668,17.8365,0.0,-5.4158454166666665,-0.5482979166666665,3.6457083333333338,137.30315674199804,0.6583166103010679,2.4269004804185985,1.0
20160830,2.307629166666666,-33.36718125000001,167.17731249999997,4.862788333333335,0.4588161041666666,286.32355443749987,137.79281874999998,642.6593216458333,35.38859260416667,13.687848791666664,53.24177083333334,101.19666666666666,21.53589583333333,0.0,19.85045833333333,19.706354166666664,19.5128125,19.563812499999994,19.851895833333334,0.2839312499999996,-0.5982190322580646,11.413713874999996,13.721431250000006,10.222652279166663,11.85505025625,252.68002135416668,3.2466401249999994,2.307629166666666,-33.36718125000001,167.17731249999997,4.862788333333335,287.2141458333333,335.885125,137.79281874999998,642.6593216458333,35.38859260416667,11.348895833333332,53.24177083333334,101.19666666666666,21.53589583333333,0.0,0.2839312499999996,-0.6036185416666665,3.2466666666666666,167.17731249999997,2.307629166666666,4.862788333333335,1.0
20160831,1.6337784090909102,-23.79164444444444,151.49340909090913,1.6227139090909086,0.43453247916666665,300.6471088125,134.20228333333333,666.80826375,37.55422270833333,12.114427666666666,55.37014583333333,101.0525,20.748625,0.0,19.95090625,19.865458333333333,19.73990625,19.823364583333326,20.027500000000003,0.5414333333333339,-0.6422421875,11.334952895833332,13.201206833333332,10.52504895833333,11.471629808333333,252.20099922916665,3.0935949375000003,1.8662760416666668,-27.24733333333333,147.08462500000005,1.6843046666666666,301.9338333333334,327.6760624999997,134.20228333333333,666.80826375,37.55422270833333,11.573166666666665,55.37014583333333,101.0525,20.748625,0.0,0.5414333333333339,-0.6401541666666669,3.0936250000000007,146.38896617440392,1.79472268676889,2.0911707829168398,1.0
20160901,-7.870581739130434,48.78314,204.61206399999998,3.0319744400000004,0.26663391666666664,289.34323979166675,129.62467708333335,641.3219562083333,35.76721047916668,9.127704375,64.74454166666666,101.14541666666672,18.46897916666667,0.0,19.408666666666672,19.484989583333327,19.597677083333334,19.83725,20.082062500000006,-1.6714806249999994,-0.6823335483870967,10.291149374999996,12.1023656875,9.99610575,10.46750878125,248.30835739583327,1.9859163333333336,1.8112191666666664,-10.867322916666666,121.69642916666665,1.4589150625,290.9140208333333,320.4828750000001,129.62467708333335,641.3219562083333,35.76721047916668,10.483208333333332,64.74454166666666,101.14541666666672,18.46897916666667,0.0,-1.6714806249999994,-0.6672004166666666,1.9859166666666663,120.32490542556377,1.1464659081132005,5.011164474279685,1.0
20160902,-6.284031666666667,26.176364000000014,213.5040400000001,-1.9499891200000008,0.21764085416666665,273.24136910416667,133.67430833333339,620.2958298333334,34.73615789583334,11.385583374999998,61.2606875,100.96229166666667,19.343614583333334,0.0,18.705583333333333,18.804000000000002,18.994281250000004,19.463760416666673,19.987541666666672,-1.0775895833333324,-0.7098563636363636,10.247158541666662,12.119934083333336,9.418776833333334,10.143946691666667,206.34760133333324,1.5397039375,1.872817708333334,-21.80945625,127.0851875,-1.8612653750000012,274.57918750000005,331.2603124999999,133.67430833333339,620.2958298333334,34.73615789583334,12.60827083333333,61.2606875,100.96229166666667,19.343625000000007,0.0,-1.0775895833333324,-0.7120568750000001,1.5397083333333332,126.12721612732108,1.2879028873702023,2.2946631560514383,1.0
20160903,-2.8609257142857163,13.27392,164.02082857142858,4.8770055999999995,0.3625772291666667,272.37495747916665,122.35448333333336,608.5805028333334,35.12439035416666,9.782105875,57.99950000000001,100.725625,18.001354166666665,0.0,18.637010416666676,18.778260416666672,19.060729166666672,19.55185416666668,19.948354166666665,-2.578970416666666,-0.7380676470588237,10.653508916666663,11.40199545833333,9.09781875,9.027413720833335,235.44304572916667,2.5647797708333333,0.7485187500000005,-10.7667875,128.37235416666667,3.0642645000000006,273.70258333333334,317.9911250000002,122.35448333333336,608.5805028333334,35.12439035416666,10.950499999999998,57.99950000000001,100.725625,18.001354166666665,0.0,-2.578970416666666,-0.7307743749999999,2.5647291666666674,127.74780967156534,0.5770014941051163,5.692727318806602,1.0
20160904,-7.187577826086956,53.67101119999998,180.81624,9.044206120000002,0.2169673125000001,273.1221513958333,126.06328541666664,607.4846485416666,35.369859958333336,9.085529583333333,62.78172916666666,100.78541666666663,17.056150000000006,0.0,17.677072916666663,17.864427083333336,18.216916666666666,18.943385416666672,19.721541666666667,-2.4718906250000003,-0.7667138235294119,9.76147975,10.811601083333334,8.908633958333334,7.831207095833332,226.35653485416668,1.4506181666666669,1.0500991666666672,-2.6945150000000027,108.647625,3.707977145833334,274.6316458333334,312.8133124999999,126.06328541666664,607.4846485416666,35.369859958333336,9.961604166666666,62.78172916666666,100.78541666666663,17.05614583333334,0.0,-2.4718906250000003,-0.7623025000000001,1.4506458333333332,106.56707729928837,0.8827190770284865,8.219038775364039,1.0
20160905,-6.770152,28.278347999999987,214.05316399999995,2.7165888,0.2815875208333334,275.0880527083333,120.64251666666662,602.9815022708332,35.86866995833333,12.45440097916667,53.95685416666666,100.774375,18.889625000000006,0.0,18.5991875,18.596416666666666,18.663583333333328,19.035000000000004,19.558875,0.0848906250000016,-0.7907472972972972,10.154447270833332,11.134144375,8.8265175,7.7687414062499975,265.04468762500005,2.071268375,0.9797500000000005,-22.52433958333333,128.74489791666664,-0.2043537499999999,276.599375,315.60443750000013,120.64251666666662,602.9815022708332,35.86866995833333,13.48945833333334,53.95685416666666,100.774375,18.889625000000006,0.0,0.0848906250000016,-0.7916643749999998,2.071270833333333,126.33769413717964,1.139438011421222,4.530773250210231,1.0
20160906,-10.07652157894737,38.249875,229.09921000000003,-1.1351129999999998,0.15690650000000006,264.4308248541667,126.18422916666668,580.0617561666667,34.46586889583333,15.252173312500005,52.78610416666667,100.88708333333336,20.499666666666666,0.0,18.824333333333332,18.844020833333328,18.856552083333334,19.088239583333333,19.532833333333333,-0.13181875000000098,-0.8140391428571427,10.935558916666665,11.386363479166667,8.572183958333332,7.9545596791666675,257.81730016666666,1.097565625,0.4507804166666665,-22.557054166666664,126.08865000000002,-2.373542916666666,266.03866666666664,322.0559375,126.18422916666668,580.0617561666667,34.46586889583333,16.941604166666668,52.78610416666667,100.88708333333336,20.499666666666666,0.0,-0.13181875000000098,-0.8167137499999999,1.0975416666666666,123.1901934874458,0.7827062757004954,3.087981264531789,1.0
