TIMESTAMP,NEE,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,P,G,WTD,SWC,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,PPFD_IN_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,WTD_F,SWC_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20170508,0.5800562375,6.16087375,-2.5172282857142854,0.15084676195833338,319.1192291666666,52.42677083333332,359.4770833333332,470.46875000000017,155.69608333333332,570.3182340425533,81.72877083333334,13.893295161764344,58.71083333333334,100.8559299708333,23.90125,0.0,-1.1932191489361592,-0.32501250000000004,39.42858333333333,3.0087975000000005,5.4397278125,0.5578972916666668,1.4436739583333331,170.11455730624996,2.1260044152916677,2.430934785416667,107.05321854166672,-1.7409340416666663,320.4895,52.42677083333332,359.4770833333332,470.46875000000017,155.69608333333332,591.1129937499999,81.72877083333334,13.895729166666667,58.71083333333334,101.066,23.90125,0.0,-0.2018604166666559,-0.32501250000000004,39.42858333333333,2.126,112.2832565733487,0.6116754905630366,-0.8942523707958924,1.0
20170509,0.3634056111111111,56.15631733333333,-2.5422721052631583,0.2046577363125,324.7270000000001,55.47864583333333,360.1375,469.65625,159.7332291666666,575.4769787234043,83.33835416666666,14.124018458283672,58.68854166666667,100.79914318541668,24.29270833333333,0.0,52.829395833333294,-0.3401645833333333,38.63152083333335,1.4241427083333338,3.431527291666668,0.5963214375,1.5118893749999998,228.57777256041675,3.0229615257916658,2.0073848125,107.35595125000003,-0.5330018229166671,325.9936666666667,55.47864583333333,360.1375,469.65625,159.7332291666666,598.08708125,83.33835416666666,14.126541666666665,58.68854166666667,100.98533333333332,24.29270833333333,0.0,52.829395833333294,-0.3401645833333333,38.63152083333335,3.0229375000000007,111.8069555404932,0.5121318073326812,-0.7061330819230354,1.0
20170510,0.370567924,11.461077142857144,-2.9869911538461538,0.2267658131875001,281.25135416666666,46.94908333333333,377.3708333333335,471.13541666666663,140.52764583333337,501.5721489361703,73.01033333333334,12.793679481608956,62.27083333333334,100.68971334583335,24.66791666666667,0.0,31.343617021276568,-0.3475333333333333,38.06618750000001,0.1960418750000001,1.3531058958333333,0.4752656041666667,1.3805360416666668,208.85377596458335,3.3157770867291654,1.1570757875000002,89.80852124999996,-0.7945058645833329,282.3886875,46.94908333333333,377.3708333333335,471.13541666666663,140.52764583333337,523.4015416666667,73.01033333333334,12.796416666666666,62.27083333333334,100.8665,24.66791666666667,0.0,32.196333333333314,-0.3475333333333333,38.06618750000001,3.3158125000000003,100.65948321686001,0.4955779326473214,-1.3073379471313065,1.0
20170511,0.34989703999999994,17.77437875,0.5459044000000001,0.254850190893617,221.53945833333336,36.0814375,402.16666666666674,466.91875,120.71060416666668,390.57814893617035,57.8339375,9.060474109231018,72.7863829787234,100.49984375319151,24.02765957446808,7.933333040000003,104.80298297872343,-0.3452729166666666,38.72645833333333,0.0900559166666667,0.6476075,0.3421858125,1.2014220833333331,207.63981376676603,3.400857657234043,0.5575504847916665,72.45369437499998,1.1572022916666664,222.2652083333334,36.0814375,402.16666666666674,466.91875,120.71060416666668,415.10612500000013,57.8339375,9.001062500000002,72.90627083333331,100.63483333333328,23.95004166666666,7.932999999999999,103.6708791666667,-0.3452729166666666,38.72645833333333,3.3441458333333345,84.74085283819174,0.5081699618940848,0.4754767248723894,1.0
20170512,12.7316825,71.33000000000003,-5.001025,0.2479781132291667,113.85377083333331,12.833104166666667,399.27708333333334,424.925,75.36602083333334,213.10862500000007,23.20081250000001,2.661314557346291,88.71458333333334,100.22575382124997,19.80708333333334,1.20000005,-11.731143333333335,-0.08012145833333331,47.6390625,-1.3730632291666671,0.5131407916666667,0.20631435416666669,0.9052104166666668,86.55523650649998,3.2921489952291667,1.8861970639583328,57.15183333333335,0.6084628333333334,114.18977083333334,12.833104166666667,399.27708333333334,424.925,75.36602083333334,213.10862500000007,23.20081250000001,2.663604166666667,88.71458333333334,100.12997916666669,19.80708333333334,1.2,-11.731143333333335,-0.08012145833333331,47.6390625,3.2921875000000003,52.985694571493724,1.1539531828531804,-0.5900169227449591,1.0
20170513,-9999,145.65935523809526,-9999,0.24775775885416665,342.78850000000006,39.11312499999999,333.90208333333334,424.0583333333335,213.52502083333331,575.6990425531914,59.80010416666668,7.704975742523962,70.49145833333334,100.49056567708335,19.883750000000006,0.0,-3.402841666666662,-0.14819583333333328,45.619604166666676,-0.2129175125,0.5422209791666667,0.2339231041666667,0.7835254166666669,164.67994199981246,2.8259848743125,0.7551391666666666,129.5773108333333,0.2910292083333332,344.1502083333333,39.11312499999999,333.90208333333334,424.0583333333335,213.52502083333331,598.50293125,59.80010416666668,7.710520833333335,70.49145833333334,100.6008125,19.883750000000006,0.009000000000000001,-3.402841666666662,-0.14819583333333328,45.619604166666676,2.8259583333333342,130.4090437677301,0.2553874235725087,0.2377067145961904,1.0
20170514,1.6364685714285714,32.83883333333333,-2.370261619047619,0.11293797597916667,338.40833333333325,45.47204166666666,352.69166666666666,443.91041666666666,201.70706249999992,574.8444468085105,71.14210416666667,9.990970314580336,68.2591666666667,100.63244085208332,21.70125,0.0,30.04108125,-0.2638625000000001,41.07033333333333,-1.4704813541666668,0.6471823333333333,0.11919127083333332,0.7018516666666668,204.80287766666663,1.2882828135000002,2.1176411041666685,111.71962291666664,-0.8738598333333337,339.600625,45.47204166666666,352.69166666666666,443.91041666666666,201.70706249999992,597.5309604166666,71.14210416666667,9.995020833333333,68.2591666666667,100.80504166666668,21.70125,0.0,30.04108125,-0.2638625000000001,41.07033333333333,1.2883541666666667,119.17520067172087,0.8466816615839267,-0.9538035029095048,1.0
20170515,-0.14097823076923088,4.536445714285715,-2.7036111923076924,0.1593584797916667,325.2757291666667,52.3794375,363.5958333333333,468.8958333333332,167.59320833333328,571.9498297872341,78.69766666666669,11.932658095528744,65.88312499999999,100.63020556458332,23.99020833333333,0.0,21.665966666666673,-0.2988687500000001,39.91529166666667,0.8439413541666667,0.7954387291666665,0.02678765441041668,0.6446337499999999,173.62107326270836,1.8953019173125,-0.04850029166666675,109.18454416666668,-0.8456835625000001,326.45562499999994,52.3794375,363.5958333333333,468.8958333333332,167.59320833333328,593.1452625000002,78.69766666666669,11.934395833333333,65.88312499999999,100.78427083333334,23.99020833333333,0.0,21.665966666666673,-0.2988687500000001,39.91529166666667,1.8953125,119.42056807341685,0.14245976383071998,-1.4034166650010915,1.0
20170516,0.8677255172413794,35.149272499999995,-1.5450657142857145,0.2369894210909091,278.5692916666665,46.33583333333333,374.8180625,466.9697916666667,140.0825833333333,520.53475,69.6279375,12.926448872065892,63.99145454545456,100.43152729772729,24.98318181818182,0.0,29.070960869565216,-0.3211470833333333,38.95734782608695,0.09680120833333328,0.9037707500000004,0.10350347916666663,0.7817258333333331,175.15242519318176,3.5230911913636374,0.8069695624999998,104.00989770833333,-0.36511270833333387,279.7945416666666,46.33583333333333,374.8180625,466.9697916666667,140.0825833333333,520.53475,69.6279375,13.16235416666666,63.362000000000016,100.62212500000004,25.088124999999994,0.0,-13.359043750000005,-0.3211470833333333,39.103083333333345,3.5222708333333324,117.20025462949242,0.6229052010848304,-0.8887835359379058,1.0
20170517,0.4259750000000002,36.02995384615385,0.9215032142857142,0.2967947724166667,183.78895833333328,15.505979166666664,402.89443749999987,438.6025,132.5755,312.6864680851064,34.95839583333332,10.632714600078893,68.07922916666668,100.2291186916666,25.217562500000003,0.0,-9999,-0.11402791666666667,-9999,0.2843804166666666,0.9602227916666668,0.35226462500000005,0.8799595833333336,186.88926469166665,4.917079969479167,0.6758370208333334,78.68923750000002,0.931166875,184.59237500000003,15.505979166666664,402.89443749999987,438.6025,132.5755,339.68213958333337,34.95839583333332,10.63583333333333,68.07922916666668,100.36443750000002,25.217562500000003,0.0,8.26672916666667,-0.11402791666666667,39.96056250000001,4.917124999999999,92.77736226325787,0.5378129874723266,0.6585130097950965,1.0
