TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,VPD,RH,PA,TA,P,TS_1,TS_2,G,WTD,SWC_1,SWC_2,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20170523,0.6166708333333334,21.112888888888886,53.47632285714285,77.92233333333334,0.1761775,130.98497752291667,14.478368750000005,374.3693541666667,411.50041666666664,79.37552562500002,4.0683440770738795,81.14166666666667,98.76187708333329,17.591874999999998,3.0,-9999,19.3585,4.266566041666667,0.04274233333333333,49.92864583333333,47.36469374999998,1.4391002083333335,2.1609734999999994,0.6989779129166668,1.642149625,179.62098729166667,2.0877893125,0.7218701249999997,15.391596249999996,43.57223541666667,67.33041666666668,130.9849375,14.478368750000005,374.3693541666667,411.50041666666664,79.37552562500002,4.072166666666668,81.14166666666667,98.76185416666668,17.591874999999998,3.0,4.266566041666667,0.04274233333333333,2.087729166666666,41.93848101953254,1.0050199530075417,70.87409062173887,1.0
20170524,-0.4067287826086956,42.00187272727272,191.3888909090909,258.73040625000004,0.20949357142857136,355.9327023333333,34.41411875000001,353.6191875,428.91958333333326,246.21835625,8.108556693013847,69.9441666666667,98.49990416666668,19.7475,0.0,-9999,19.797708333333325,16.056785729166666,0.05414564583333333,49.78093749999999,47.36874583333334,1.6183876041666665,2.0199595,1.0694103270833335,1.4670732708333332,244.815525625,2.388139770833333,0.4015730833333333,28.022190125,138.48357083333332,194.1770833333333,355.9326875,34.41411875000001,353.6191875,428.91958333333326,246.21835625,8.113791666666668,69.9441666666667,98.49985416666664,19.7475,0.0,16.056785729166666,0.05414564583333333,2.3880833333333333,137.45877992635386,0.5130186858482172,201.3155334490397,1.0
20170525,1.067455814814815,35.54053812500001,158.68103428571433,104.56244444444445,0.31686108695652176,287.0857600416667,32.43291666666667,323.47827083333334,405.84520833333335,172.28610000000012,8.140862530138726,61.530875,98.13463124999998,17.16125,0.0,-9999,19.36668085106383,2.635365319148937,0.04590797916666666,49.45372340425536,47.34148723404256,0.6348722270833332,1.7138156249999998,0.6864536104166667,1.0479892916666669,239.7268125,4.157372812500001,1.0789374374999998,23.517383750000004,126.8345666666667,97.90493541666672,287.08575,32.43291666666667,323.47827083333334,405.84520833333335,172.28610000000012,8.148604166666667,61.530875,98.1345625,17.16125,0.0,2.5059743750000005,0.04590797916666666,4.157354166666669,124.52268189799065,1.122360423235087,101.61700561909932,1.0
20170526,-0.8154561428571431,38.557295675675675,116.47777824999996,79.48078378378378,0.18209234042553185,283.28340346808517,28.44038541666667,322.6495000000001,403.755625,190.84709583333333,7.878299449660095,58.50833333333335,98.39922083333332,15.071458333333332,0.0,-9999,17.823229166666664,2.009506249999999,0.04449485416666666,49.4328125,47.314687499999984,1.4862338125000003,1.4334523541666666,0.86772918125,0.9515173333333332,185.33631541666668,1.6716398749999997,-0.052763583333333385,27.621059166666665,100.936831875,85.62283333333333,294.4802708333334,28.44038541666667,322.6495000000001,403.755625,190.84709583333333,7.886166666666668,58.50833333333335,98.39925,15.071458333333332,0.0,2.009506249999999,0.04449485416666666,1.671625,99.6167629919016,0.054225412178686684,79.3201691998752,1.0
20170527,0.7258919354838711,43.158434375,163.39763428571425,166.49054545454553,0.19386500000000004,356.43359687500015,34.64670208333334,323.02012500000006,419.53312500000015,225.27383333333339,9.427588264205074,60.77460416666667,98.79911666666668,17.954583333333336,0.0,-9999,19.100872340425536,12.042951489361705,0.049821041666666656,49.402125531914905,47.353302127659596,0.4074431875,1.3898783333333335,1.3741563166666666,1.4961735625,205.968768125,1.6444909375000003,0.982451875,31.1410875,124.18986666666665,136.07279854166666,356.43362500000006,34.64670208333334,323.02012500000006,419.53312500000015,225.27383333333339,9.434958333333334,60.77460416666667,98.79916666666666,17.954583333333336,0.0,11.626044166666668,0.049821041666666656,1.6445208333333332,122.84431061323832,0.91586955142785,143.71088181143762,1.0
20170528,-0.3343682592592592,25.19856060606061,105.4084081081081,106.93311428571428,0.21204195652173916,242.507216875,25.88888333333333,346.82666666666665,415.2993749999998,148.14687083333334,8.202040085714772,67.16375000000001,98.8009979166667,18.47625,0.0,-9999,19.028854166666672,4.915478750000001,0.04275966666666666,49.40249999999998,47.33010416666668,1.2479128541666669,1.4479516874999998,1.396216625,1.6662340416666668,211.05204166666672,2.3018318958333333,0.20003981249999989,16.207243750000004,84.85227291666666,96.2655625,242.50722916666663,25.88888333333333,346.82666666666665,415.2993749999998,148.14687083333334,8.207875,67.16375000000001,98.80102083333333,18.47625,0.0,4.915478750000001,0.04275966666666666,2.3018333333333336,82.67125545005635,0.2622106686501489,111.36780633291427,1.0
20170529,0.019317857142857067,29.547511111111113,107.34542368421057,223.93052777777774,0.2026336170212766,265.31989333333337,27.33261583333334,380.73929166666665,434.1975,184.52915375,7.5328292183655705,73.9391666666667,98.83531666666666,21.47625,0.0,-9999,20.067229166666667,15.900457291666665,0.0379333125,49.38989375000001,47.32832916666666,1.5348611874999998,1.5814486458333334,1.7836067500000004,1.72176025,204.50076747916668,2.0562791250000005,0.0465833333333333,21.201279166666673,87.87266875000005,187.806625,265.3198958333334,27.33261583333334,380.73929166666665,434.1975,184.52915375,7.536791666666668,73.9391666666667,98.83533333333335,21.47625,0.0,15.900457291666665,0.0379333125,2.056270833333333,87.11740361896234,0.07290364617113583,202.09344276291657,1.0
20170530,-1.6950760800000004,22.487160606060602,113.73891088235297,207.67893333333333,0.2237627499999999,240.19279666666668,26.368177083333336,366.7040000000002,431.145625,149.3832854166666,9.666620306142976,66.58208333333333,98.63306041666668,21.46645833333333,0.0,-9999,20.77620833333333,12.356363750000002,0.03241318749999999,49.35374374999998,47.30937291666667,1.891200875000001,1.6351874791666672,1.807654,1.6374510625000005,206.09779641666668,1.6736786458333337,-0.25600712499999995,14.147062916666664,90.221749375,168.03370833333338,240.1927916666667,26.368177083333336,366.7040000000002,431.145625,149.3832854166666,9.6718125,66.58208333333333,98.63310416666666,21.46645833333333,0.0,12.356363750000002,0.03241318749999999,1.6736875,89.37826481405472,-0.26133793769865865,183.09793885742508,1.0
20170531,0.2080231153846151,16.50329387096774,71.05586216216217,190.85127272727271,0.1476286956521739,177.00556825624997,20.635139583333334,362.9527083333333,420.5904166666666,98.73302083333333,8.163648180495137,67.42229166666668,98.06699166666668,19.544791666666672,0.0,-9999,20.084104166666673,5.604671458333333,0.027327104166666668,49.326975,47.26291666666664,1.1409349770833328,1.6918735208333333,1.6916115374999998,1.5637436041666664,191.46197249999992,1.309671875,0.5509668958333331,10.498039791666663,59.91585208333334,156.32675000000003,177.00556250000002,20.635139583333334,362.9527083333333,420.5904166666666,98.73302083333333,8.169812499999999,67.42229166666668,98.06689583333332,19.544791666666672,0.0,5.604671458333333,0.027327104166666668,1.3097083333333333,59.29158524840511,0.913417291305828,174.51241266409417,1.0
20170601,-1.4447389655172411,46.50383333333333,176.65570000000002,245.3138571428571,0.26953787234042553,315.39956229166665,34.08400625000001,355.01293750000013,426.6304166666668,209.69792708333333,8.70499934934942,68.16970833333333,97.617725,20.4478125,0.0,-9999,20.38051063829787,10.289847021276596,0.03900735416666667,49.30148936170212,47.27234042553192,2.3614011458333324,1.8592277708333336,2.4441834166666663,1.987953625,206.4889943750001,2.726952,-0.5021697916666668,25.10171652083333,133.36862083333332,208.77158333333333,315.3995625,34.08400625000001,355.01293750000013,426.6304166666668,209.69792708333333,8.7105,68.16970833333333,97.61772916666668,20.4478125,0.0,10.742683541666665,0.03900735416666667,2.7268958333333333,132.62720127184596,-0.18202163194737708,220.7327259940197,1.0
